Sheet,Cell,StartTime,EndTime,Gain,Mean,StDev,Temperature
Sheet26,B1,2024-05-01 14:25:08,2024-05-01 14:26:40,85,38079,3331,95.00792
Sheet26,B2,2024-05-01 14:25:08,2024-05-01 14:26:40,85,35289,4434,95.00792
Sheet26,B3,2024-05-01 14:25:08,2024-05-01 14:26:40,85,24725,1937,95.00792
Sheet26,B4,2024-05-01 14:25:08,2024-05-01 14:26:40,85,21747,1246,95.00792
Sheet26,C1,2024-05-01 14:25:08,2024-05-01 14:26:40,85,35842,2695,95.00792
Sheet26,C2,2024-05-01 14:25:08,2024-05-01 14:26:40,85,31123,3490,95.00792
Sheet26,C3,2024-05-01 14:25:08,2024-05-01 14:26:40,85,23771,1373,95.00792
Sheet26,C4,2024-05-01 14:25:08,2024-05-01 14:26:40,85,20366,647,95.00792
Sheet27,B1,2024-05-01 14:28:59,2024-05-01 14:30:31,87,40497,3108,100.0418
Sheet27,B2,2024-05-01 14:28:59,2024-05-01 14:30:31,87,37901,3839,100.0418
Sheet27,B3,2024-05-01 14:28:59,2024-05-01 14:30:31,87,27275,1851,100.0418
Sheet27,B4,2024-05-01 14:28:59,2024-05-01 14:30:31,87,24096,1327,100.0418
Sheet27,C1,2024-05-01 14:28:59,2024-05-01 14:30:31,87,38563,2702,100.0418
Sheet27,C2,2024-05-01 14:28:59,2024-05-01 14:30:31,87,33889,3256,100.0418
Sheet27,C3,2024-05-01 14:28:59,2024-05-01 14:30:31,87,26355,1408,100.0418
Sheet27,C4,2024-05-01 14:28:59,2024-05-01 14:30:31,87,22729,699,100.0418
